[2019-01-31 23:26:57.286010] PriQueue successfully get links from disk
[2019-01-31 23:26:57.589950] manager start running at: [2019-01-31 23:26:57.589950]
[2019-01-31 23:27:08.079779] Connection established: ('127.0.0.1', 2863)
[2019-01-31 23:27:08.082779] get_by_addr(): assigning domain[bbs.musicool.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.083779] get_by_addr(): assigning domain[z.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.083779] get_by_addr(): assigning domain[www.djye.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.083779] get_by_addr(): assigning domain[www.xiaozhu.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.083779] get_by_addr(): assigning domain[www.vip.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.087776] get_by_addr(): assigning domain[www.ule.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.087776] get_by_addr(): assigning domain[www.hongshu.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.088776] get_by_addr(): assigning domain[www.fao.org] to addr[127.0.0.1]
[2019-01-31 23:27:08.088776] get_by_addr(): assigning domain[www.17173.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.088776] get_by_addr(): assigning domain[www.mafengwo.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.088776] get_by_addr(): assigning domain[www.cri.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.088776] get_by_addr(): assigning domain[www.hao123.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.088776] get_by_addr(): assigning domain[www.guardian.co.uk] to addr[127.0.0.1]
[2019-01-31 23:27:08.088776] get_by_addr(): assigning domain[www.ijjnews.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.089775] get_by_addr(): assigning domain[www.yingjiesheng.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.089775] get_by_addr(): assigning domain[www.qunar.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.089775] get_by_addr(): assigning domain[www.beijing.gov.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.089775] get_by_addr(): assigning domain[ent.sina.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.089775] get_by_addr(): assigning domain[www.jiaolianx.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.089775] get_by_addr(): assigning domain[www.cars.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.089775] get_by_addr(): assigning domain[www.beauty.yxlady.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.089775] get_by_addr(): assigning domain[new.060s.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.090775] get_by_addr(): assigning domain[dzwww.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.090775] get_by_addr(): assigning domain[www.yanqing888.me] to addr[127.0.0.1]
[2019-01-31 23:27:08.090775] get_by_addr(): assigning domain[www.renren.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.090775] get_by_addr(): assigning domain[www.health.pclady.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.090775] get_by_addr(): assigning domain[chaoshi.suning.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.090775] get_by_addr(): assigning domain[www.lotour.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.090775] get_by_addr(): assigning domain[www.storychina.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.091775] get_by_addr(): assigning domain[www.xialv.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.091775] get_by_addr(): assigning domain[bbs.fblife.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.091775] get_by_addr(): assigning domain[www.weidian.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.091775] get_by_addr(): assigning domain[www.huagu.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.091775] get_by_addr(): assigning domain[www.bookabc.net] to addr[127.0.0.1]
[2019-01-31 23:27:08.091775] get_by_addr(): assigning domain[www.amazon.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.091775] get_by_addr(): assigning domain[www.egou.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.092775] get_by_addr(): assigning domain[www.dajie.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.092775] get_by_addr(): assigning domain[www.howzhi.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.092775] get_by_addr(): assigning domain[www.m4.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.092775] get_by_addr(): assigning domain[www.firefoxchina.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.092775] get_by_addr(): assigning domain[www.lieju.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.093777] get_by_addr(): assigning domain[www.southcn.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.093777] get_by_addr(): assigning domain[www.etao.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.093777] get_by_addr(): assigning domain[www.lvye.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.093777] get_by_addr(): assigning domain[www.channelnewsasia.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.093777] get_by_addr(): assigning domain[www.czsx.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.093777] get_by_addr(): assigning domain[tech.sina.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.094778] get_by_addr(): assigning domain[8.hao123.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.094778] get_by_addr(): assigning domain[www.economist.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.094778] get_by_addr(): assigning domain[dl.pconline.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.094778] get_by_addr(): assigning domain[www.lol.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.094778] get_by_addr(): assigning domain[www.fx120.net] to addr[127.0.0.1]
[2019-01-31 23:27:08.094778] get_by_addr(): assigning domain[www.cnki.net] to addr[127.0.0.1]
[2019-01-31 23:27:08.095777] get_by_addr(): assigning domain[www.newyx.net] to addr[127.0.0.1]
[2019-01-31 23:27:08.095777] get_by_addr(): assigning domain[tejia.hao123.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.095777] get_by_addr(): assigning domain[www.pptv.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.095777] get_by_addr(): assigning domain[www.cr173.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.095777] get_by_addr(): assigning domain[www.ynet.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.095777] get_by_addr(): assigning domain[www.nhfpc.gov.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.095777] get_by_addr(): assigning domain[www.17u.net] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[news.iautos.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[bbs1.people.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[www.utusan.com.my] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[www.51766.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[gz.house.ifeng.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[www.oschina.net] to addr[127.0.0.1]
[2019-01-31 23:27:08.096776] get_by_addr(): assigning domain[www.alluc.org] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[bbs.163.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.tianya.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.dangdang.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.liepin.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.lagou.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.qiuyi.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.097774] get_by_addr(): assigning domain[www.lifetv.com.my] to addr[127.0.0.1]
